Date,Price,Open,High,Low,Change %
01-01-2007,8.128,8.128,8.128,8.128,4.41%
01-02-2007,8.188,8.188,8.188,8.188,0.74%
01-03-2007,8.337,8.337,8.337,8.337,1.82%
01-04-2007,8.487,8.487,8.487,8.487,1.80%
01-05-2007,8.446,8.446,8.446,8.446,-0.48%
01-06-2007,8.526,8.526,8.526,8.526,0.95%
01-07-2007,8.358,8.358,8.358,8.358,-1.97%
01-08-2007,8.326,8.326,8.326,8.326,-0.38%
01-09-2007,8.421,8.421,8.421,8.421,1.14%
01-10-2007,8.304,8.304,8.304,8.304,-1.39%
01-11-2007,8.344,8.344,8.344,8.344,0.48%
01-12-2007,8.115,8.115,8.115,8.115,-2.74%
01-01-2008,7.841,7.841,7.841,7.841,-3.38%
01-02-2008,7.991,7.991,7.991,7.991,1.91%
01-03-2008,8.431,8.431,8.431,8.431,5.51%
01-04-2008,8.405,8.405,8.405,8.405,-0.31%
01-05-2008,8.461,8.461,8.461,8.461,0.67%
01-06-2008,9.243,9.243,9.243,9.243,9.24%
01-07-2008,9.863,9.863,9.863,9.863,6.71%
01-08-2008,9.615,9.615,9.615,9.615,-2.51%
01-09-2008,9.299,9.299,9.299,9.299,-3.29%
01-10-2008,8.074,8.074,8.074,8.074,-13.17%
01-11-2008,7.81,7.81,7.81,7.81,-3.27%
01-12-2008,6.478,6.478,6.478,6.478,-17.06%
01-01-2009,7.258,7.258,7.258,7.258,12.04%
01-02-2009,7.668,7.668,7.668,7.668,5.65%
01-03-2009,7.797,7.797,7.797,7.797,1.68%
01-04-2009,7.258,7.258,7.258,7.258,-6.91%
01-05-2009,7.671,7.671,7.671,7.671,5.69%
01-06-2009,7.748,7.748,7.748,7.748,1.00%
01-07-2009,7.893,7.893,7.893,7.893,1.87%
01-08-2009,8.311,8.311,8.311,8.311,5.30%
01-09-2009,8.243,8.243,8.243,8.243,-0.82%
01-10-2009,8.382,8.382,8.382,8.382,1.69%
01-11-2009,8.277,8.261,8.277,8.23,-1.25%
01-12-2009,8.327,8.282,8.461,8.282,0.60%
01-01-2010,8.355,8.337,8.392,8.337,0.34%
01-02-2010,8.469,8.349,8.469,8.349,1.36%
01-03-2010,8.459,8.469,8.475,8.448,-0.12%
01-04-2010,8.548,8.459,8.581,8.459,1.05%
01-05-2010,8.467,8.548,8.548,8.458,-0.95%
01-06-2010,8.361,8.467,8.495,8.361,-1.25%
01-07-2010,8.433,8.35,8.433,8.34,0.86%
01-08-2010,8.382,8.433,8.433,8.357,-0.60%
01-09-2010,8.332,8.383,8.429,8.321,-0.60%
01-10-2010,8.465,8.357,8.498,8.357,1.60%
01-11-2010,8.467,8.461,8.493,8.403,0.02%
01-12-2010,8.429,8.475,8.54,8.427,-0.45%
01-01-2011,8.56,8.434,8.578,8.434,1.55%
01-02-2011,8.527,8.566,8.588,8.527,-0.39%
01-03-2011,8.361,8.532,8.532,8.355,-1.95%
01-04-2011,8.497,8.352,8.514,8.352,1.63%
01-05-2011,8.666,8.499,8.705,8.494,1.99%
01-06-2011,8.575,8.65,8.65,8.551,-1.05%
01-07-2011,8.723,8.66,8.723,8.571,1.73%
01-08-2011,8.599,8.718,8.722,8.537,-1.42%
01-09-2011,8.675,8.611,8.675,8.588,0.88%
01-10-2011,8.992,8.726,9.015,8.726,3.65%
01-11-2011,9.12,8.997,9.303,8.982,1.42%
01-12-2011,8.781,9.136,9.136,8.587,-3.72%
01-01-2012,8.599,8.811,8.811,8.486,-2.07%
01-02-2012,8.594,8.509,8.625,8.5,-0.06%
01-03-2012,8.743,8.608,8.828,8.571,1.73%
01-04-2012,8.781,8.937,9.077,8.724,0.43%
01-05-2012,8.734,8.831,9.004,8.734,-0.54%
01-06-2012,8.662,8.744,8.753,8.55,-0.82%
01-07-2012,8.658,8.701,8.701,8.539,-0.05%
01-08-2012,8.625,8.682,8.694,8.603,-0.38%
01-09-2012,8.48,8.662,8.662,8.48,-1.68%
01-10-2012,8.421,8.484,8.484,8.345,-0.70%
01-11-2012,8.465,8.452,8.512,8.394,0.52%
01-12-2012,8.304,8.467,8.467,8.297,-1.90%
01-01-2013,8.116,8.245,8.245,7.97,-2.26%
01-02-2013,8.119,8.145,8.166,8.014,0.04%
01-03-2013,8.247,8.144,8.278,8.125,1.58%
01-04-2013,7.92,8.295,8.295,7.903,-3.97%
01-05-2013,7.496,7.92,7.989,7.41,-5.35%
01-06-2013,7.821,7.492,7.862,7.469,4.34%
01-07-2013,8.751,7.774,8.751,7.774,11.89%
01-08-2013,9.099,8.628,9.598,8.628,3.98%
01-09-2013,9.297,8.884,9.408,8.736,2.18%
01-10-2013,9.03,9.335,9.335,8.948,-2.87%
01-11-2013,9.175,9.048,9.421,9.048,1.61%
01-12-2013,9.247,9.228,9.435,9.15,0.78%
01-01-2014,9.236,9.258,9.321,8.92,-0.12%
01-02-2014,9.225,9.295,9.356,9.091,-0.12%
01-03-2014,9.086,9.274,9.279,9.086,-1.51%
01-04-2014,9.091,9.227,9.384,9.044,0.06%
01-05-2014,8.776,9.11,9.11,8.776,-3.46%
01-06-2014,8.778,8.786,8.818,8.543,0.02%
01-07-2014,8.725,8.8,8.841,8.653,-0.60%
01-08-2014,8.779,8.743,8.938,8.738,0.62%
01-09-2014,8.697,8.779,8.788,8.643,-0.93%
01-10-2014,8.36,8.726,8.726,8.354,-3.87%
01-11-2014,8.196,8.358,8.358,8.193,-1.96%
01-12-2014,8.001,8.194,8.195,7.865,-2.38%
01-01-2015,7.695,7.991,8.12,7.695,-3.82%
01-02-2015,7.687,7.72,7.737,7.626,-0.10%
01-03-2015,7.782,7.736,7.862,7.658,1.24%
01-04-2015,7.901,7.799,7.927,7.769,1.53%
01-05-2015,7.955,7.936,8.08,7.866,0.68%
01-06-2015,8.14,7.984,8.26,7.96,2.33%
01-07-2015,8.022,8.182,8.182,8,-1.45%
01-08-2015,7.994,8.017,8.079,7.943,-0.35%
01-09-2015,7.815,8.013,8.017,7.798,-2.24%
01-10-2015,7.853,7.823,7.857,7.777,0.49%
01-11-2015,7.996,7.853,8.005,7.836,1.82%
01-12-2015,8.076,7.996,8.103,7.94,1.00%
01-01-2016,8.231,8.094,8.261,8.058,1.92%
01-02-2016,8.237,8.247,8.481,8.23,0.07%
01-03-2016,7.912,8.274,8.274,7.88,-3.95%
01-04-2016,7.835,7.934,7.934,7.759,-0.97%
01-05-2016,7.846,7.886,7.9,7.835,0.14%
01-06-2016,7.727,7.865,7.909,7.714,-1.52%
01-07-2016,7.38,7.738,7.763,7.372,-4.49%
01-08-2016,7.246,7.38,7.431,7.217,-1.82%
01-09-2016,7.172,7.289,7.293,7.124,-1.02%
01-10-2016,7.198,7.178,7.234,7.092,0.36%
01-11-2016,6.651,7.234,7.287,6.596,-7.60%
01-12-2016,7.112,6.685,7.161,6.63,6.93%
01-01-2017,7.023,7.055,7.079,6.9,-1.25%
01-02-2017,7.418,7.051,7.481,7.019,5.62%
01-03-2017,7.347,7.457,7.503,7.347,-0.96%
01-04-2017,7.456,7.347,7.477,7.321,1.48%
01-05-2017,7.343,7.482,7.517,7.281,-1.52%
01-06-2017,7.115,7.351,7.364,7.038,-3.11%
01-07-2017,7.074,7.245,7.245,7.022,-0.58%
01-08-2017,7.137,7.074,7.2,7.026,0.89%
01-09-2017,7.268,7.133,7.332,7.113,1.84%
01-10-2017,7.297,7.31,7.391,7.255,0.40%
01-11-2017,7.458,7.332,7.506,7.297,2.21%
01-12-2017,7.642,7.502,7.757,7.409,2.47%
01-01-2018,7.83,7.714,7.856,7.61,2.46%
01-02-2018,7.95,7.803,8.011,7.772,1.53%
01-03-2018,7.632,7.981,7.985,7.632,-4.00%
01-04-2018,8.021,7.632,8.088,7.524,5.10%
01-05-2018,8.134,8.002,8.134,7.842,1.41%
01-06-2018,8.095,8.137,8.224,8.04,-0.48%
01-07-2018,8.119,8.141,8.192,8.051,0.30%
01-08-2018,8.246,8.014,8.286,8.014,1.56%
01-09-2018,8.25,8.266,8.466,8.25,0.05%
01-10-2018,8.186,8.32,8.393,8.166,-0.78%
01-11-2018,7.867,8.196,8.196,7.837,-3.90%
01-12-2018,7.61,7.898,7.898,7.549,-3.27%
01-01-2019,7.66,7.634,7.78,7.609,0.66%
01-02-2019,7.758,7.701,7.808,7.635,1.28%
01-03-2019,7.602,7.791,7.798,7.596,-2.01%
